song,listeners,streams,saves,release_date
"Dusty Lake",0,228133,0,2024-06-14
"Bubblez",0,1303,0,2024-05-09
"Cheeze",0,1019,0,2024-05-17
"Cracklez",0,516,0,2024-05-23
"Spooky Lake",0,396,0,2024-06-21
"Dreamy Love",0,386,0,2024-07-26
"Bebop Jazz",0,355,0,2024-08-02
"Rhodes & Birds",0,338,0,2024-09-06
"Waterflow",0,337,0,2024-11-15
"Everything Is Fun",0,282,0,2024-09-13
"Set up Sleeping Bags",0,273,0,2024-06-28
"The Ocean, the Moon and the Forest",0,237,0,2025-03-28
"Ocean Road",0,210,0,2024-09-20
"Coffee Frog",0,205,0,2024-08-30
"Seagulls",0,185,0,2024-08-09
"Jazzy Xmas",0,182,0,2024-12-06
"Smoky Tent",0,170,0,2024-07-05
"Rain Drops",0,128,0,2024-11-23
"All You Got to Do",0,121,0,2024-09-27
"Winter Moon",0,119,0,2024-12-06
"Windy Holiday",0,104,0,2024-12-06
"Dark Water",0,102,0,2024-11-23
"Dreamy Love (Vocal Remix)",0,101,0,2024-08-16
"Gentil Winter",0,100,0,2024-12-06
"Zombie broadcast",0,40,0,2025-11-01
"Spooky halloween lake (spooky lake remaster)",0,32,0,2025-11-01
"A treat 4 you",0,27,0,2025-11-01
"Goldstain is alive!",0,23,0,2025-11-01
"Lofi nightmare",0,20,0,2025-11-01
